problem_phrog	count_otu_tables	median_microbial_readcount	total_microbial_readcount
phrog_11619	1	1.0	1
phrog_29	6	7.5	46
phrog_158	3	1.0	7
phrog_509	8	2.5	37
phrog_909	4	6.0	24
phrog_1535	1	6.0	6
phrog_2606	2	7.5	15
phrog_6616	1	9.0	9
phrog_31814	2	1.0	2
phrog_20838	1	3.0	3
phrog_126	2	4.5	9
phrog_454	1	7.0	7
phrog_11933	1	6.0	6
phrog_873	1	3.0	3
phrog_21	3	7.0	20
phrog_27	3	4.0	12
phrog_49	2	4.0	8
phrog_118	1	5.0	5
phrog_2551	1	5.0	5
phrog_3584	1	10.0	10
phrog_10993	1	1.0	1
phrog_37023	1	10.0	10
phrog_279	6	6.0	32
phrog_365	3	7.0	22
phrog_400	2	2.0	4
phrog_521	3	5.0	18
phrog_843	1	6.0	6
phrog_752	3	3.0	10
phrog_772	3	1.0	10
phrog_985	3	5.0	15
phrog_1028	3	6.0	17
phrog_1063	4	6.5	26
phrog_1348	2	5.0	10
phrog_2204	2	9.5	19
phrog_4717	1	2.0	2
phrog_534	1	5.0	5
phrog_9001	1	4.0	4
phrog_123	2	4.5	9
phrog_233	6	3.0	18
phrog_283	3	5.0	16
phrog_5775	2	5.0	10
phrog_148	3	7.0	24
phrog_199	4	7.5	30
phrog_1068	1	5.0	5
phrog_692	1	5.0	5
phrog_694	1	13.0	13
phrog_4912	3	9.0	28
phrog_1907	1	1.0	1
phrog_2006	1	7.0	7
phrog_2038	1	4.0	4
phrog_2150	1	2.0	2
phrog_2248	1	6.0	6
phrog_3225	1	4.0	4
phrog_4898	1	6.0	6
phrog_6370	1	8.0	8
phrog_11209	1	2.0	2
phrog_3011	1	5.0	5
phrog_3013	1	4.0	4
phrog_3015	1	5.0	5
phrog_3233	1	7.0	7
phrog_3242	1	4.0	4
phrog_4795	1	6.0	6
phrog_8047	1	7.0	7
phrog_22033	1	4.0	4
phrog_393	5	5.0	24
phrog_3639	1	2.0	2
phrog_5413	1	1.0	1
phrog_5629	1	2.0	2
phrog_6779	1	4.0	4
phrog_9534	1	2.0	2
phrog_881	2	6.0	12
phrog_2175	1	3.0	3
phrog_3285	1	10.0	10
phrog_4611	1	11.0	11
phrog_10344	1	5.0	5
phrog_442	1	2.0	2
phrog_3055	1	1.0	1
phrog_907	1	4.0	4
phrog_1228	1	8.0	8
phrog_2258	1	3.0	3
phrog_3469	1	4.0	4
